,mp_name,p_name
285,Dieldrin,
286,Dieldrin,
287,Dieldrin,
288,Dieldrin,
289,Dieldrin,
290,Dieldrin,
291,Dieldrin,
292,Hexabromobenzene (HBB),
293,Hexabromobenzene (HBB),
294,Hexabromobenzene (HBB),
295,Hexabromobenzene (HBB),
296,Hexabromobenzene (HBB),
297,Hexabromobenzene (HBB),
298,Hexabromobenzene (HBB),
299,Hexabromobenzene (HBB),
300,Hexabromobenzene (HBB),
301,Hexabromobenzene (HBB),
302,Hexabromobenzene (HBB),
303,Hexabromobenzene (HBB),
304,Hexabromobenzene (HBB),
305,Heptachlor epoxide,
306,Heptachlor epoxide,
307,Heptachlor epoxide,
308,Heptachlor epoxide,
309,Heptachlor epoxide,
310,Heptachlor epoxide,
311,Heptachlor epoxide,
312,Heptachlor epoxide,
313,Heptachlor epoxide,
314,Heptachlor epoxide,
315,Heptachlor epoxide,
316,Heptachlor epoxide,
317,Heptachlor epoxide,
318,Mirex,
319,Mirex,
320,Mirex,
321,Mirex,
322,Mirex,
323,Mirex,
324,Mirex,
325,Mirex,
326,Mirex,
327,Mirex,
328,Mirex,
329,Mirex,
330,Mirex,
331,PCBs (as Arochlor 1254) Total,
332,PCBs (as Arochlor 1254) Total,
333,PCBs (as Arochlor 1254) Total,
334,PCBs (as Arochlor 1254) Total,
335,PCBs (as Arochlor 1254) Total,
336,PCBs (as Arochlor 1254) Total,
337,PCBs (as Arochlor 1254) Total,
338,PCBs (as Arochlor 1254) Total,
339,PCBs (as Arochlor 1254) Total,
340,PCBs (as Arochlor 1254) Total,
341,PCBs (as Arochlor 1254) Total,
342,PCBs (as Arochlor 1254) Total,
343,PCBs (as Arochlor 1254) Total,
344,Chlordane (alpha+gamma),
345,Chlordane (alpha+gamma),
346,Chlordane (alpha+gamma),
347,Chlordane (alpha+gamma),
348,Chlordane (alpha+gamma),
349,Chlordane (alpha+gamma),
350,Chlordane (alpha+gamma),
351,Chlordane (alpha+gamma),
352,Chlordane (alpha+gamma),
353,Chlordane (alpha+gamma),
354,p-p'-DDD,
355,p-p'-DDD,
356,p-p'-DDD,
357,p-p'-DDD,
358,p-p'-DDD,
359,p-p'-DDD,
360,p-p'-DDD,
361,p-p'-DDD,
362,p-p'-DDD,
363,p-p'-DDD,
364,p-p'-DDE,
365,p-p'-DDE,
366,p-p'-DDE,
367,p-p'-DDE,
368,p-p'-DDE,
369,p-p'-DDE,
370,p-p'-DDE,
371,p-p'-DDE,
372,p-p'-DDE,
373,p-p'-DDE,
374,p-p'-DDT,
375,p-p'-DDT,
376,p-p'-DDT,
377,p-p'-DDT,
378,p-p'-DDT,
379,p-p'-DDT,
380,p-p'-DDT,
381,p-p'-DDT,
382,p-p'-DDT,
383,p-p'-DDT,
384,Dieldrin,
385,Dieldrin,
386,Dieldrin,
387,Dieldrin,
388,Dieldrin,
389,Dieldrin,
390,Dieldrin,
391,Dieldrin,
392,Dieldrin,
393,Dieldrin,
394,Hexabromobenzene (HBB),
395,Mirex,
396,Mirex,
397,Mirex,
398,Mirex,
399,Mirex,
400,Mirex,
401,Mirex,
402,Mirex,
403,Mirex,
404,Mirex,
405,PCBs (as Arochlor 1254) Total,
406,PCBs (as Arochlor 1254) Total,
407,PCBs (as Arochlor 1254) Total,
408,PCBs (as Arochlor 1254) Total,
409,PCBs (as Arochlor 1254) Total,
410,PCBs (as Arochlor 1254) Total,
411,PCBs (as Arochlor 1254) Total,
412,PCBs (as Arochlor 1254) Total,
413,PCBs (as Arochlor 1254) Total,
414,PCBs (as Arochlor 1254) Total,
415,Chlordane (alpha+gamma),
416,Chlordane (alpha+gamma),
417,Chlordane (alpha+gamma),
418,Chlordane (alpha+gamma),
419,Chlordane (alpha+gamma),
420,Chlordane (alpha+gamma),
421,Chlordane (alpha+gamma),
422,Chlordane (alpha+gamma),
423,Chlordane (alpha+gamma),
424,Chlordane (alpha+gamma),
425,p-p'-DDD,
426,p-p'-DDD,
427,p-p'-DDD,
428,p-p'-DDD,
429,p-p'-DDD,
430,p-p'-DDD,
431,p-p'-DDD,
432,p-p'-DDD,
433,p-p'-DDD,
434,p-p'-DDD,
435,p-p'-DDE,
436,p-p'-DDE,
437,p-p'-DDE,
438,p-p'-DDE,
439,p-p'-DDE,
440,p-p'-DDE,
441,p-p'-DDE,
442,p-p'-DDE,
443,p-p'-DDE,
444,p-p'-DDE,
445,p-p'-DDT,
446,p-p'-DDT,
447,p-p'-DDT,
448,p-p'-DDT,
449,p-p'-DDT,
450,p-p'-DDT,
451,p-p'-DDT,
452,p-p'-DDT,
453,p-p'-DDT,
454,p-p'-DDT,
455,Dieldrin,
456,Dieldrin,
457,Dieldrin,
458,Dieldrin,
459,Dieldrin,
460,Dieldrin,
461,Dieldrin,
462,Dieldrin,
463,Dieldrin,
464,Dieldrin,
465,Mirex,
466,Mirex,
467,Mirex,
468,Mirex,
469,Mirex,
470,Mirex,
471,Mirex,
472,Mirex,
473,Mirex,
474,Mirex,
475,opDDT,
476,opDDT,
477,opDDT,
478,opDDT,
479,opDDT,
480,opDDT,
481,opDDT,
482,opDDT,
483,opDDT,
484,opDDT,
485,PCBs (as Arochlor 1254) Total,
486,PCBs (as Arochlor 1254) Total,
487,PCBs (as Arochlor 1254) Total,
488,PCBs (as Arochlor 1254) Total,
489,PCBs (as Arochlor 1254) Total,
490,PCBs (as Arochlor 1254) Total,
491,PCBs (as Arochlor 1254) Total,
492,PCBs (as Arochlor 1254) Total,
493,PCBs (as Arochlor 1254) Total,
494,PCBs (as Arochlor 1254) Total,
